file	sample	sample_name	condition	replicate
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251031212821.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251031212821.raw	HEY_E100Y75_51_1	E100Y75_Cycle51	1
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101034509.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101034509.raw	HEY_E100Y75_51_2	E100Y75_Cycle51	2
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101060602.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101060602.raw	HEY_E100Y75_51_3	E100Y75_Cycle51	3
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031190108.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031190108.raw	HEY_E100Y75_81_1	E100Y75_Cycle81	1
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031234918.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031234918.raw	HEY_E100Y75_81_2	E100Y75_Cycle81	2
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251101070439.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251101070439.raw	HEY_E100Y75_81_3	E100Y75_Cycle81	3
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251031202946.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251031202946.raw	HEY_E25Y150_51_1	E25Y150_Cycle51	1
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101024632.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101024632.raw	HEY_E25Y150_51_2	E25Y150_Cycle51	2
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101083316.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101083316.raw	HEY_E25Y150_51_3	E25Y150_Cycle51	3
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251031173233.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251031173233.raw	HEY_E25Y150_81_1	E25Y150_Cycle81	1
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101011756.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101011756.raw	HEY_E25Y150_81_2	E25Y150_Cycle81	2
C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101093153.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101093153.raw	HEY_E25Y150_81_3	E25Y150_Cycle81	3
