Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57372.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	157268
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	3.56964e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	213319
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	6845.82
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	1	1	292288
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	7	7	200458
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	21	21	5.55672e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	16	16	1.18136e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	15	15	2.39649e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	162947
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	108223
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7	7	208443
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1	1	3.49333e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	5	5	207628
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	16	16	5.60857e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3	1	8882.87
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	3	3	168030
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2	2	5042.83
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	14	2	5.71032e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	33271.5
