Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57377.raw
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	2.97092e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	322642
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	154292
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	390011
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	2720.96
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	6	6	670878
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	270399
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	21	21	3.66925e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	16	16	1.8479e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	17	17	1.24331e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	4	4	395217
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	4	4	27384.6
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	4	0	1.03031e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	2	2	454136
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10	10	1.67022e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1	1	3280.14
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	7	7	56752.8
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	58481.2
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	1	1	2040.09
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	19	19	1.21366e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	4	53195.9
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	3	3	299630
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3	3	487306
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	13	1	9.56893e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	6168.81
A5FXD9;Q5FSK8	DAPB_ACICJ;DAPB_GLUOX	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	128266
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	3	3	3.58713e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	33	33	3.87819e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	69702.4
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	761140
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	10	10	7.37494e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	3	3	97142.1
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	1178.45
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.09473e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	30	30	1.14772e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	942783
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	6322.61
A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPYA_HUMAN	TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8	Testis-specific Y-encoded protein 2	1	0	580335
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3	3	152679
A6ZKI3;Q9BWD3	RTL8A_HUMAN;RTL8C_HUMAN	RTL8A;RTL8C	Retrotransposon Gag-like protein 8C	1	0	128214
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2	2	52374.6
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	557026
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	7	1	1.45255e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	4098.01
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	2	0	7.6031e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	132727
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	28	26	3.44373e+06
B7VJ13	DAPB_VIBA3	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	6134.22
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	4	0	526150
B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	938881
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	4	0	1.47332e+06
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1	1	3860.69
C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	1	1	2459.53
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	1	1	13056.3
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	6	4	9.93109e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2	2	1.25422e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	9	0	3.39065e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3	3	1.18885e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	1	1	158788
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	2	2	178128
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.94402e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	15	15	715536
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	11	11	484418
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	1	1	9485.63
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	12	4	1.17063e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	6	6	1.93863e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9	8	1.93577e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	23	23	5.54624e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4	4	5.72994e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	8	8	310956
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	1.48701e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	10	10	1.22925e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	12	12	1.00096e+07
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	4	4	258791
O00193	SMAP_HUMAN	SMAP	Small acidic protein	4	4	9.01436e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	2	2	16026.3
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	16	12	1.05766e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	1.05802e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	19	19	1.79722e+08
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	16	16	2.54643e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8	8	2.23237e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	2.81905e+06
O00255	MEN1_HUMAN	MEN1	Menin	2	2	136140
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	3	3	269626
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7	6	6.42424e+06
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	25	25	1.26578e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	5	4	123683
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	11	11	1.45967e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	6	6	5.8848e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	9	9	1.58215e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	6.90289e+06
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	2	1	456786
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	10	10	675400
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1	1	77370.6
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3	3	809232
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	5	5	1.46002e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	3	3	777038
O00410	IPO5_HUMAN	IPO5	Importin-5	27	25	3.54454e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	4	4	954413
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	4	4	1.25093e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	6	6	3.73014e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	3	3	9002.41
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	17	15	2.19098e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	22	22	1.98515e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	5	5	1.33668e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	4	4	5943.41
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	5	5	98663.9
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	1	1	1645.02
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	11	11	303469
O00468	AGRIN_HUMAN	AGRN	Agrin	14	14	300963
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	9	9	228854
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	9	9	569772
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	5.10864e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	6	6	2.21044e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	354129
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	6	6	1.04622e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2	2	505083
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	15	15	7.69723e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	17	17	2.23253e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3	3	511901
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	6	6	316044
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6	6	2.60347e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	18	18	9.36387e+06
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	27	9	8.96397e+06
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	3	3	227624
O00592	PODXL_HUMAN	PODXL	Podocalyxin	7	7	5.76108e+06
O00623	PEX12_HUMAN	PEX12	Peroxisome assembly protein 12	1	1	2051.35
O00625	PIR_HUMAN	PIR	Pirin	6	6	1.57532e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	7	3	1.7698e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	2	2	187686
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1	1	383472
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	5	5	1.9099e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	3	3	96647.6
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	5	5	1.80597e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	4	4	538213
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	8	8	1.29969e+07
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	6	6	3.5428e+06
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	7	7	233682
O13329	FOB1_YEAST	FOB1	DNA replication fork-blocking protein FOB1	2	2	53957.3
O13516	RS9A_YEAST	RPS9A	Small ribosomal subunit protein uS4A	12	1	5.61377e+07
O13539	THP2_YEAST	THP2	THO complex subunit THP2	2	2	9370.4
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	1	1	492642
O13556;P0CX20;P0CX21;P0CX22;P38722;P40105;P40434;P40889;P43539;Q03099;Q07888;Q08994;Q99208	YFG5_YEAST;YHE9_YEAST;YIR7_YEAST;YJW5_YEAST;YL066_YEAST;YL067_YEAST;YL462_YEAST;YMN3_YEAST;YP203_YEAST;YRF11_YEAST;YRF12_YEAST;YRF15_YEAST;YRF18_YEAST	YFL065C;YHL049C;YIL177C;YJL225C;YLL066C;YLL067C;YLR462W;YML133C;YPR203W;YRF1-1;YRF1-2;YRF1-5;YRF1-8	Putative uncharacterized protein YLR462W	1	0	2258.5
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	4	4	1.76546e+06
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	7	7	112104
O14455	RL36B_YEAST	RPL36B	Large ribosomal subunit protein eL36B	4	1	6.23646e+07
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	8	8	1.2201e+07
O14493;O15551;O95484;P56747	CLD3_HUMAN;CLD4_HUMAN;CLD6_HUMAN;CLD9_HUMAN	CLDN3;CLDN4;CLDN6;CLDN9	Claudin-4	1	0	210706
O14495	PLPP3_HUMAN	PLPP3	Phospholipid phosphatase 3	2	2	5638.6
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	8	7	402562
O14519;O75956	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	1	0	62166.9
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	2	2	232251
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	5	5	1.05398e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	3	3	155866
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5	5	4.15335e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1	1	1.29863e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	4	4	2.55663e+06
O14569	C56D2_HUMAN	CYB561D2	Cytochrome b561 domain-containing protein 2	1	1	176837
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	5	5	17504.3
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	8	8	4.60111e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	15	15	1.66957e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	5	5	320766
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	10	9	342541
O14640;P54792	DVL1_HUMAN;DVLP1_HUMAN	DVL1;DVL1P1	Segment polarity protein dishevelled homolog DVL-1	2	0	7153.07
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	2	2	377406
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	10	7	2.14719e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	4	4	206569
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1	1	312472
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	5	5	7.57936e+06
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	5	5	1.01319e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	2	2	11951.1
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	11	11	1.40946e+06
O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	1	1	61051.9
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	4	4	4.91058e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	3	3	43586
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	3	3	66540.5
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	1	1	125060
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	4	4	1.98468e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	5	5	421359
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2	2	2.06276e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6	6	3.51966e+06
