Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57360.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	393786
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7	0	951885
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	311601
A0A0F5HNH9	IMEF_BACTR	IMEF	Ferritin-like protein	1	1	7.02096e+06
A0A0S2DNK1	PROT1_LYSEN	BV903_13690	Probable serine protease FE772_23060	1	1	689036
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	98591.8
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	4298.13
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	9	9	1.96049e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	23	23	1.45524e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	17	17	2.32253e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	3	3	161750
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	17	17	1.65972e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	268768
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	2025.22
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	2	0	359100
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9	9	919216
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3	2	4.43022e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	5	5	195112
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	2707.7
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	20	20	1.15184e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3	2	46280
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	5	5	482535
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	20	2	7.37975e+07
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	34	34	1.54881e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	211355
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	2.15579e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	10	10	7.08286e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	106209
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	3.07045e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	21	21	1.04643e+06
