Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57371.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	265208
A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	2	2	334360
A0A0B4J1U4;P03979	TRGV3_HUMAN;TRGV5_HUMAN	TRGV3;TRGV5	T cell receptor gamma variable 5	1	0	266017
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7	0	1.37177e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	189629
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	47239
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	207528
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	2928.32
A0A2Z4LIS9;O43524	FOXO3_HUMAN;FXO3B_HUMAN	FOXO3;FOXO3B	Forkhead box protein O3B	1	0	240682
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	5	5	419503
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	262715
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	25	25	2.8699e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	15	15	2.64757e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	2	2	50333.8
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	21	21	2.64498e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	378256
