Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57382.raw
A0A0B4J1U4;P03979	TRGV3_HUMAN;TRGV5_HUMAN	TRGV3;TRGV5	T cell receptor gamma variable 5	1	0	140494
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	4.04887e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	76759.5
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	59314.7
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	5336.93
A0AIN8;C1L2Z1;Q71ZN5;Q8Y766	DAPA_LISMC;DAPA_LISMF;DAPA_LISMO;DAPA_LISW6	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	608666
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	450279
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	17	17	6.49663e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	13	13	1.23584e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	12	12	1.67098e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	4	4	114517
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	2	0	95738.5
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	1	1	348374
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9	9	1.0353e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1	1	5.71668e+06
A2A3N6	PIPSL_HUMAN	PIPSL	Putative PIP5K1A and PSMD4-like protein	1	0	187087
A2BTN4;A3PFE1;Q317Y9	DAPA_PROM0;DAPA_PROM9;DAPA_PROMS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	256680
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	3	3	397765
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	15	15	6.08905e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	1	0	133180
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	5	5	102237
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	12	2	8.20083e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	4183.32
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	27	27	4.71958e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	245402
A6NC86	PINLY_HUMAN	PINLYP	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein	1	1	8748.26
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	706046
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9	9	9.21157e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	2	2	91322.9
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.4259e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	25	25	1.49876e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	698629
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2	2	1.23765e+06
A6TCA1;A7ZPS4;A8A2X1;A9MHQ2;B1IWI1;B1LNC8;B2TXQ4;B4TR62;B5BB16;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74;Q5PLS1;Q8Z4R8;Q8ZN71	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_KLEP7;DAPA_SALAR;DAPA_SALPA;DAPA_SALPK;DAPA_SALSV;DAPA_SALTI;DAPA_SALTY;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2	2	30487.9
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	2	1	17627.8
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	6056.46
A8MT19	RHN2P_HUMAN	RHPN2P1	Putative rhophilin-2-like protein RHPN2P1	1	0	3699.31
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	8.88042e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	241409
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	26	24	3.42681e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	4	0	964497
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1	0	1.5617e+06
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	1	1	4835.28
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	8.74836e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	8.26956e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	9	0	3.19168e+07
G2XKQ0	SUMO5_HUMAN	SUMO1P1	Small ubiquitin-related modifier 5	1	0	3.54505e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	621626
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3	3	618940
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	14	14	1.31452e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	12	11	448668
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	13	5	1.23425e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	5	5	464137
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	7	7	1.46353e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	20	20	2.01709e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	3	3	194441
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	5	5	755199
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	713873
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7	7	895632
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	11	11	4.17505e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	2	2	132903
O00193	SMAP_HUMAN	SMAP	Small acidic protein	1	1	18040.5
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	2	2	1.54108e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	12	10	729501
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	965555
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	19	18	1.4538e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	14	14	1.97056e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8	8	3.48852e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	3.32071e+06
O00255	MEN1_HUMAN	MEN1	Menin	2	2	9420.44
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	3	3	80864.5
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	5	5	1.19751e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	23	23	1.35067e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	4	3	46867.2
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	7	7	774111
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	1	1	10011.8
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	2	2	236959
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	9	9	1.40071e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	6.69001e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	10	10	539757
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1	1	44839.7
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2	2	805793
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	3	3	285899
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	2	2	371072
O00410	IPO5_HUMAN	IPO5	Importin-5	26	24	3.30977e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	3	3	17569.3
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	2	2	1.79653e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	7	7	3.11662e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	15	13	2.27023e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	22	22	2.22753e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4	4	514190
