Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57356.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	488052
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	2.23103e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	73393.5
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	5992.33
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	3309.91
A0A1S4H5M5	CLA28_ANOGA	CLIPA28	Inactive CLIP domain-containing serine protease A28	1	1	3045.52
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	8	8	85518.1
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	24	24	1.74532e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	17	17	1.97352e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	2	2	1.07642e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	17	17	2.27443e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	481913
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	1	1	2392.68
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	81392.5
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	1	1	981380
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	12	12	529214
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	928.297
A1VZF4;A7GYB0;A7H443;A8FLL9;B9KFX0;Q5HUY6;Q9PPB4	DAPA_CAMC5;DAPA_CAMJ8;DAPA_CAMJD;DAPA_CAMJE;DAPA_CAMJJ;DAPA_CAMJR;DAPA_CAMLR	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	4907.21
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	4	3	146234
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	10	10	611277
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	3259.99
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	23	23	1.11078e+07
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	4	3	262285
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	3.4477e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2	2	111668
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	17	2	6.5456e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	250286
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	3	3	7234.67
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	38	38	2.79466e+06
