Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57383.raw
A0A075B6W5	TVA23_HUMAN	TRAV23DV6	T cell receptor alpha variable 23/delta variable 6	1	1	16029.6
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	3.15029e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	231269
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	14145.2
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	21752.7
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	6370.42
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	6	6	389689
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	5	5	191895
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	19	19	3.58416e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	15	15	2.88552e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	18	18	3.57561e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	404388
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	3	3	59434.2
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	4	0	4.17882e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	3	3	1.30146e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10	10	1.55265e+06
A1US27	DAPA_BARBK	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	1.85109e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1	1	2.50276e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	6	6	140296
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	17	17	6.36125e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6	4	2.24509e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	5	5	135198
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3	3	9730.08
