Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57353.raw
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	5	1	386130
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	2.47207e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	197817
A0A0H2VAP9;P08555	DSDX_ECOL6;DSDX_ECOLI	dsdX	D-serine transporter DsdX	1	1	1.19991e+06
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	6583.22
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	70895.4
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	2041.54
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	9	9	1.96428e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	1.89989e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	27	27	4.5928e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	20	20	3.197e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	3	3	2943.65
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	22	22	2.46587e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	392244
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	3414.04
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	5	0	1.16569e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	4	4	1.17704e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	14	14	1.84856e+06
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	80708.7
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	3	3	135711
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	6	5	448726
A2A2Z9;Q8IVF6	AN18A_HUMAN;AN18B_HUMAN	ANKRD18A;ANKRD18B	Ankyrin repeat domain-containing protein 18B	1	0	70740.9
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	9	9	103936
