Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57381.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	261064
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7	0	3.9397e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	190421
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	15299.7
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	44517.1
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	4005.27
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	3	3	167306
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	277850
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	21	21	2.91262e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	15	15	2.39525e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	19	19	2.72912e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	405501
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	43098.4
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	3	3	164496
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	7	0	4.25893e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	3	3	570566
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	7	7	314795
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	4	4	11155.6
A1U1A6	DAPA_MARN8	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2	2	35644.8
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3	2	3.54707e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	8	8	877352
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	70492
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	17	17	991422
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6	4	2.08399e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	440081
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1	1	9581.74
A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	1	1	18083.4
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	16	2	1.11731e+08
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	2	2	977806
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	40	40	4.88009e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	76313.1
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	730538
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	1.12052e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	151369
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3	3	19387.3
A6NEF3;A6NEM1;A6NI86;H0YKK7	GG6L4_HUMAN;GG6L9_HUMAN;GG6LA_HUMAN;GG6LS_HUMAN	GOLGA6L10;GOLGA6L19;GOLGA6L4;GOLGA6L9	Golgin subfamily A member 6-like protein 4	1	0	41139.2
A6NER3	GG12J_HUMAN	GAGE12J	G antigen 12J	1	1	59648.2
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.15392e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	35	35	3.04605e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	1.62105e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	16122.2
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	4	4	1.24133e+06
A6NNY8	UBP27_HUMAN	USP27X	Ubiquitin carboxyl-terminal hydrolase 27	1	0	58377.4
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	354378
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1	1	45649.7
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	50652.7
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	3.84139e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	2	2	585310
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1	1	5568.95
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	28	26	3.8604e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	4	0	537921
B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	613899
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1	0	99307.7
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1	1	33703.4
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	1	1	168623
E0SDG8	CDIA_DICD3	cdiA	Deoxyribonuclease CdiA	1	1	894183
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	1.13377e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	3.53748e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	8	0	4.01502e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	1.39594e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	2.20853e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.05521e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	15	15	1.31472e+06
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	10	10	1.18396e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	1	1	4042.13
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	4	4	1.44926e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8	8	1.82591e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	10	10	2.38327e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	21	21	5.33739e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	6	6	6.05779e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	7	7	430803
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	991958
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9	9	974894
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	11	11	1.17562e+07
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	3	3	55393.4
O00193	SMAP_HUMAN	SMAP	Small acidic protein	4	4	428052
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	2	2	3.02951e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	15	12	1.16155e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	1.14094e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	19	18	1.88722e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	12	12	3.93759e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	10	10	4.30006e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	4.32412e+06
O00255	MEN1_HUMAN	MEN1	Menin	5	5	95530.1
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	4	4	880082
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	6	6	7.78005e+06
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	24	24	1.6928e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	8	7	260104
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	11	11	1.75959e+06
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	2	2	74068.3
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	8	8	728315
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	9	9	1.81459e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	8.15651e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9	9	785768
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1	1	124620
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1	1	58478.6
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	6	6	185305
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	4	4	940592
O00410	IPO5_HUMAN	IPO5	Importin-5	24	23	5.66165e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	5	5	155664
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	3	3	455402
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	2	2	1.81466e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	2	2	5083.46
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	14	13	2.44626e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	23	23	2.0225e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4	4	582113
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	8	8	102564
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	5	5	1.39139e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	2	2	6573.71
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	14	14	981982
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1	1	30901.6
O00468	AGRIN_HUMAN	AGRN	Agrin	18	18	1.18514e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	8	8	296962
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	8	8	216612
