Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57351.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	496402
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7	0	1.59394e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	13081.6
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	10371.4
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	1672.51
A0A2U3D0N8	CS12F_SULT2	cas12f1	CRISPR-associated endodeoxyribonuclease Cas12f1	2	2	1.26323e+06
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	1	1	154351
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	2.0054e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	25	25	2.51696e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	18	18	1.95288e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	16	16	798889
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	295434
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	95679.8
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	4	0	259814
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	13	13	1.9527e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2	2	2204.68
A2A3N6	PIPSL_HUMAN	PIPSL	Putative PIP5K1A and PSMD4-like protein	5	1	806638
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	2	2	428258
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	3	3	8725.29
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	18	18	497436
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	3	19276.9
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	1.76405e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3	3	7257.69
A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11	1	1	23699.4
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	21	2	6.40106e+07
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	32819.4
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	41	41	5.27768e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	193171
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	1.59393e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	11	11	3.02283e+06
A6NDR6;O00470;O14770;Q99687	ME3L1_HUMAN;MEIS1_HUMAN;MEIS2_HUMAN;MEIS3_HUMAN	MEIS1;MEIS2;MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	1	0	6627.59
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	217641
A6NEF3	GG6L4_HUMAN	GOLGA6L4	Golgin subfamily A member 6-like protein 4	1	0	474689
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.8709e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	27	27	923862
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	121493
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3	3	48654.2
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3	3	218060
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	4	4	92239.3
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	10	0	2.13558e+06
