Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57380.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	65589.2
A0A0B4J271	TVAL3_HUMAN	TRAV12-3	T cell receptor alpha variable 12-3	1	1	13039.3
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	2.64258e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	230307
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	78995.6
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	5197.55
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	7	7	390776
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	22	22	789237
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	11	11	1.95196e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	16	16	1.92646e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	1	1	180780
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	4852.81
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	141490
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9	9	290883
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1	1	2482.32
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3	3	5.23419e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	5	5	11580.9
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	1	1	7547.75
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	16	16	7.61162e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2	1	191691
A4D1B5	GSAP_HUMAN	GSAP	Gamma-secretase-activating protein	1	1	82557.9
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	5	5	130095
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3	3	37717.9
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	16	2	8.12196e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	54702.7
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	4.49244e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	31	31	6.09663e+06
A5YM69	ARG35_HUMAN	ARHGEF35	Rho guanine nucleotide exchange factor 35	2	1	3634.52
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	309837
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	547471
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	802878
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	98564.2
A6NER3	GG12J_HUMAN	GAGE12J	G antigen 12J	1	1	180035
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.95711e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	26	26	1.53561e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2	1	1.01184e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3	3	29324.2
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3	3	161407
A6TT16	DAPB_ALKMQ	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	739864
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2	2	98128.6
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	9	1	1.90127e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	48819.5
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	3.95716e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	26	24	3.4077e+06
