Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57366.raw
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	2.29345e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	17217.3
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	17007.9
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	3384.9
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	1	1	332111
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	5	5	101530
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	20	20	6.80724e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	17	17	1.37089e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	15	15	770540
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	396956
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	1	1	3748.21
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	2	0	164590
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	8	8	294324
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2	2	1.29242e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	7	7	238816
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	11	11	782551
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	2	3358.87
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	1.13818e+06
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	17	2	5.25717e+07
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2	2	3.08277e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	35	35	1.73052e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	215535
A6H8Y1	BDP1_HUMAN	BDP1	Transcription factor TFIIIB component B'' homolog	2	2	151765
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	445560
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	7	7	6.39392e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	142781
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3	3	223933
A6NHG4;P30046	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	D-dopachrome decarboxylase-like protein	5	0	4.84154e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.55963e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	27	27	1.98567e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2	2	4506.51
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	1	1	3546.38
