Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57388.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	95210
A0A024RBG1;Q9NZJ9	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	2	0	58275.3
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	3.44743e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	405826
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	2	2	56386.5
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	7981.28
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	6	6	343236
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	7	7	259709
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	23	23	3.27737e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	14	14	1.80577e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	13	13	1.05401e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	456885
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	3	3	64531.4
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	5	0	4.19625e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	4	4	403525
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9	9	1.65151e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	2	2	4365.36
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3	2	2.57759e+06
A1YPR0	ZBT7C_HUMAN	ZBTB7C	Zinc finger and BTB domain-containing protein 7C	1	1	12272.2
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	8	8	212139
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	11478.6
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	16	16	6.57595e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3	2	3.50088e+07
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	314727
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	10	1	1.21154e+08
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	43643.1
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1	1	122290
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	32	32	3.9183e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	65123.6
A6H8Y1	BDP1_HUMAN	BDP1	Transcription factor TFIIIB component B'' homolog	1	1	2339.76
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	922240
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9	9	9.39068e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	142398
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	43711.4
A6NEF3;A6NEM1;A6NI86;H0YKK7	GG6L4_HUMAN;GG6L9_HUMAN;GG6LA_HUMAN;GG6LS_HUMAN	GOLGA6L10;GOLGA6L19;GOLGA6L4;GOLGA6L9	Golgin subfamily A member 6-like protein 4	1	0	350957
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	1	1	3186.21
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.26348e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	30	30	1.01859e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2	1	909285
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	1	1	4128.56
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	5	5	1.2674e+06
A6NMD0	IFM10_HUMAN	IFITM10	Interferon-induced transmembrane protein 10	1	1	3003.95
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	324989
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	9	1	637917
A8MPP1;Q96FC9	D11L8_HUMAN;DDX11_HUMAN	DDX11;DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	2	0	11462.7
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	2	2	111135
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	2	0	1.11648e+07
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	199692
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1	1	53843.5
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	26	24	4.58361e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3	0	781841
B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	862379
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	3	0	713809
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1	1	41720.5
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	1.06348e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	5.95349e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	4	0	4.03382e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	1.30217e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	317052
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	2	2	336914
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.31678e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	14	14	1.70742e+06
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	1	1	6824.77
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	11	10	819950
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	2	2	81008.1
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	13	5	1.75488e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	7	7	950137
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	8	8	1.86483e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	20	20	1.48114e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4	4	2.50619e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	7	7	471518
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	1.4255e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7	7	1.59578e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	13	13	2.50655e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	1	1	5659.26
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	9.11825e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	3	3	2.70094e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	16	13	1.23437e+06
O00212	RHOD_HUMAN	RHOD	Rho-related GTP-binding protein RhoD	1	1	2.40396e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	1.44836e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	19	18	1.99233e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	15	15	4.75441e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8	8	4.34481e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	3.69251e+06
O00255	MEN1_HUMAN	MEN1	Menin	4	4	1.74493e+06
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	3	3	21461.9
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	6	6	6.70839e+06
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	24	24	1.17696e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	6	5	1.21631e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	9	9	1.98989e+06
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	2	2	31831.8
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	3	3	4.80116e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	8	8	1.86603e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	10	10	6.93196e+06
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	1	1	111313
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	11	11	880703
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1	1	139868
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2	2	468355
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	4	4	148972
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	3	3	582744
O00410	IPO5_HUMAN	IPO5	Importin-5	28	26	5.00553e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	6	6	385714
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	4	4	4.47088e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	2	2	49119
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	13	13	2.48349e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	23	23	2.07579e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4	4	611193
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	8	8	399905
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	4	4	1.37914e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	12	12	158196
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1	1	115950
O00468	AGRIN_HUMAN	AGRN	Agrin	11	11	49146.3
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5	5	311479
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	5	5	299621
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	5.97338e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	5	5	2.83509e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	310256
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	8	7	1.86318e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2	2	711608
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	17	17	9.49944e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	17	17	2.41204e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	4	4	393686
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	5	5	206560
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	5	5	550497
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	18	18	1.14722e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	23	6	1.09012e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	2	2	273498
O00592	PODXL_HUMAN	PODXL	Podocalyxin	8	8	7.22976e+06
O00623	PEX12_HUMAN	PEX12	Peroxisome assembly protein 12	1	1	69990.2
O00625	PIR_HUMAN	PIR	Pirin	7	7	1.62902e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	7	3	3.61136e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	1	1	2330.02
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	1	0	170592
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	6	6	2.52012e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	1	1	2875.33
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	3	3	2.23207e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	3	3	497941
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	8	8	3.12315e+06
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	5	5	4.7069e+06
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	7	7	578547
O13329	FOB1_YEAST	FOB1	DNA replication fork-blocking protein FOB1	1	1	333751
O13516	RS9A_YEAST	RPS9A	Small ribosomal subunit protein uS4A	10	1	6.60059e+07
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	1	1	6612.89
O13539	THP2_YEAST	THP2	THO complex subunit THP2	2	2	12594.9
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	1	1	529840
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	4	4	2.1014e+06
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	7	7	326684
O14455	RL36B_YEAST	RPL36B	Large ribosomal subunit protein eL36B	4	1	7.78036e+07
