Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57376.raw
A0A024RBG1;Q9NZJ9	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	2	0	11171.1
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	3.44001e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	134643
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	2306.15
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	12889.3
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	7267.94
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	130047
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	23	23	2.70907e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	14	14	1.27061e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	14	14	1.33762e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	313969
A0QS29	RECB_MYCS2	recB	RecBCD enzyme subunit RecB	1	1	42828.1
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	76955.9
A1BI80	DAPB_CHLPD	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	175803
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	8	8	589386
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	20778.3
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3	2	3.91443e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	2	2	61593.1
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	15	15	782345
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3	2	59052
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	221703
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	18	2	6.80409e+07
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2	2	4.26346e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	34	34	757184
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	352776
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	569480
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	802360
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	65752.3
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.66697e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	27	27	1.66435e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1	1	93574.3
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	5947.22
A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPYA_HUMAN	TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8	Testis-specific Y-encoded protein 2	1	0	533355
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2	2	160691
A6TCA1;A7ZPS4;A8A2X1;A9MHQ2;B1IWI1;B1LNC8;B2TXQ4;B4TR62;B5BB16;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74;Q5PLS1;Q8Z4R8;Q8ZN71	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_KLEP7;DAPA_SALAR;DAPA_SALPA;DAPA_SALPK;DAPA_SALSV;DAPA_SALTI;DAPA_SALTY;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	20026.6
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	1	1	53854.5
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1	1	4581.6
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	73364.4
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	7.43683e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	335651
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	28	26	3.01986e+06
B3CM06	DAPA_WOLPP	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2	2	537364
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2	0	87354.1
B8GNX3	DAPB_THISH	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	690261
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1	0	62443
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	5	4	6.80562e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	7.49666e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	7	0	2.39249e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3	3	818729
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	2.13842e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.7662e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	13	13	578997
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	9	9	1.00712e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	2	2	4823.95
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5	5	9.35809e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8	8	4.09385e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9	9	1.77302e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	21	21	1.05568e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4	4	9.72147e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	7	7	1.74661e+07
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	863381
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9	9	578185
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	7	7	3.6049e+06
