Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57389.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	13106.5
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7	0	1.20739e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	138931
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	21635.7
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	9846.13
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	4	4	196896
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	20	20	5.01761e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	11	11	2.27925e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	13	13	199286
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	392223
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	186001
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	8	8	3.04652e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2	1	214447
A2RH77	ADDA_LACLM	rexA	Exonuclease/helicase subunit RexA	2	2	520885
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	2	2	398026
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	11	11	8.86847e+06
A3KN83;Q9Y2G9	SBNO1_HUMAN;SBNO2_HUMAN	SBNO1;SBNO2	Protein strawberry notch homolog 1	1	0	54293.3
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	2	2	48022.1
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1	1	9050.02
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	15	2	9.64473e+07
