Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57368.raw
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7	0	744651
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	178333
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	10212.3
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	1882.19
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	5	5	537256
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	18	18	3.18577e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	12	12	1.29709e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	13	13	320143
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	208416
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	2	0	104335
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	11	11	640794
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1	1	951.884
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	4	4	1.11917e+06
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	1	1	6419.84
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	16	16	6.03774e+06
A3KN83;Q9Y2G9	SBNO1_HUMAN;SBNO2_HUMAN	SBNO1;SBNO2	Protein strawberry notch homolog 1	1	0	3319.17
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	209951
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	16	2	4.93082e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	2453.57
A5GD89	DAPA_GEOUR	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	5808.65
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	2.82914e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	28	28	702770
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	232088
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	518893
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	10	10	4.22236e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	3	3	6875.45
A6NEF3;A6NEM1;A6NI86;H0YKK7	GG6L4_HUMAN;GG6L9_HUMAN;GG6LA_HUMAN;GG6LS_HUMAN	GOLGA6L10;GOLGA6L19;GOLGA6L4;GOLGA6L9	Golgin subfamily A member 6-like protein 4	1	0	266396
A6NER3	GG12J_HUMAN	GAGE12J	G antigen 12J	1	1	95325.1
A6NHG4	DDTL_HUMAN	DDTL	D-dopachrome decarboxylase-like protein	4	0	4.79717e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.01416e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	29	29	1.22725e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	1.03334e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	4633.22
A6NJY1;Q4ZJI4	SL9B1_HUMAN;SL9P1_HUMAN	SLC9B1;SLC9B1P1	Putative SLC9B1-like protein SLC9B1P1	2	0	2.27084e+06
A6NK06	IRG1_HUMAN	ACOD1	Cis-aconitate decarboxylase	1	1	783.094
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3	3	129742
A6NNL0;B1AL46;Q8IVF1	NTM2A_HUMAN;NTM2B_HUMAN;NTM2E_HUMAN	NUTM2A;NUTM2B;NUTM2E	NUT family member 2B	1	0	49752.7
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2	2	3.53217e+06
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	4	4	73158.7
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	11	1	390780
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	2	0	761353
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	2965.32
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	4.88057e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	2	2	210762
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	28	26	2.56806e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2	0	90428.1
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	4	0	840467
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	1	1	142167
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	4.97476e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2	2	648653
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	9	0	1.89094e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	670399
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	2086.24
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.25693e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	13	13	701481
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	2	2	508443
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	14	12	397740
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	1	1	74923.2
