Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57362.raw
A0A024RBG1;Q9NZJ9	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	2	0	107693
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	2.85103e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	311164
A0A0F5HNH9	IMEF_BACTR	IMEF	Ferritin-like protein	1	1	7.35639e+06
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	406.122
A0A0S2DNK1	PROT1_LYSEN	BV903_13690	Probable serine protease FE772_23060	1	1	582031
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	14073.3
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	7258.19
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	486007
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	24	24	1.77925e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	16	16	2.86256e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	15	15	3.08855e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	530490
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	1	1	3727.6
A0QS29	RECB_MYCS2	recB	RecBCD enzyme subunit RecB	1	1	96841.8
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	298756
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10	10	520268
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2	2	4.48808e+06
A2A3N6	PIPSL_HUMAN	PIPSL	Putative PIP5K1A and PSMD4-like protein	3	0	2.44069e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	8	8	1.11058e+06
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	46406.2
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	19	19	1.25027e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	4	10617.2
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	5	5	708332
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1	1	3832.4
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	16	2	8.15629e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	6560.87
A5GHT4;A9BD97;B0C142;P49423;Q3ANI5;Q3B0T8;Q7UA33	DAPA_ACAM1;DAPA_PARMW;DAPA_PROM4;DAPA_PROMA;DAPA_SYNPW;DAPA_SYNS9;DAPA_SYNSC	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	9742.74
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	4131.27
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	36	36	7.33009e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	482915
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	2.16139e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9	9	722799
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	158670
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.69923e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	26	26	1.25766e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	3.55561e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3	3	5165.36
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2	2	2.29997e+06
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2	2	10410.1
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	10	1	1.37327e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	6004.9
