Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57373.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	287165
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	1.80187e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	211273
A0A0C5XKJ0	PARS_SPHYB	parS	Prs ADP-ribosylating antitoxin	1	1	41916.2
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	2	2	4722.67
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	15513.8
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	2151.91
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	5	5	240268
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	58341.8
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	25	25	2.51621e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	13	13	2.55814e+06
A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	1	1	4357.99
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	4	4	110355
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	20	20	2.51092e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	377425
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	2155.74
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	6	0	3.22773e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	4	4	409742
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	11	11	2.88103e+06
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	2034.88
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1	1	1029.58
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13069;Q13070;Q4V321;Q4V326	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	1	0	62301.7
A1L4L8	PL8L1_HUMAN	PLAC8L1	PLAC8-like protein 1	1	1	18827.2
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	8	7	2.12125e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	13	13	1.71612e+06
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	3	3	36899.3
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	24	24	4.10432e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6	4	1.53595e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	7	7	673229
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2	2	4254.05
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	11	1	7.32858e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	28850.3
A5F699;C3LPG2;Q9KQ47	DAPA_VIBC3;DAPA_VIBCH;DAPA_VIBCM	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	2.07173e+06
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	2	2	778064
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	41	41	2.74324e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	41777.8
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	553925
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	7	7	1.25379e+06
A6NDR6;O00470;O14770;Q99687	ME3L1_HUMAN;MEIS1_HUMAN;MEIS2_HUMAN;MEIS3_HUMAN	MEIS1;MEIS2;MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	1	0	62048.5
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	136939
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	2	2	84819.6
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.948e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	36	36	2.65832e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	5	4	810232
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	7149.95
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	5	5	818741
A6ZKI3;Q9BWD3	RTL8A_HUMAN;RTL8C_HUMAN	RTL8A;RTL8C	Retrotransposon Gag-like protein 8C	1	0	3253.95
A7ZHC0;A7ZVX9;B1IRE5;B1XBF6;B2U250;B6HYX9;B7L4F3;B7M0C7;B7N7Q5;C4ZPV7;P04036;Q326J2;Q3Z5X9	DAPB_ECO24;DAPB_ECO55;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	4	4	260393
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	381467
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	9	1	1.20081e+06
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	1	0	4.50585e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	9563.72
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	2.61157e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	2	2	179861
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	3	3	6956.7
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	27	25	2.99534e+06
B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	1	1	5227.66
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	4	0	978775
B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	653944
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2	0	848072
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	1	1	105984
E0SDG8	CDIA_DICD3	cdiA	Deoxyribonuclease CdiA	2	2	4.35801e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	7.4447e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	3.43578e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	7	0	2.96389e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	5	5	1.74895e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	4	4	1.07501e+06
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1	1	73754.6
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	896582
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	13	13	672871
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	1	1	3775.19
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	13	12	1.0337e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	3	3	17267.7
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	3	3	174205
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5	5	6.95216e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	9	9	1.45863e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9	9	1.58572e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	22	21	1.50781e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5	5	5.53807e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	7	7	146760
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	1.0916e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	8	8	230824
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	14	14	5.56822e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	5	5	86466.8
O00193	SMAP_HUMAN	SMAP	Small acidic protein	2	2	358902
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	5	4	1.48218e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	17	14	2.88186e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	947221
O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	1	1	605.453
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	18	17	1.28451e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	12	12	3.19114e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9	9	3.21684e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	5	5	3.3673e+06
O00255	MEN1_HUMAN	MEN1	Menin	3	3	6342
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	5	5	42838.7
O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	1	1	1.17296e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	8	7	5.09273e+06
