Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57358.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	150723
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	2	0	8276.22
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	2.64195e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	162829
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	6218.37
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	91486.6
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	9	9	857580
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	23	23	1.14529e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	19	19	1.82482e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	1	1	937.386
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	15	15	2.14344e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	470127
A1A780;A7ZHC0;A7ZVX9;A8ALS4;A9MYI6;B1IRE5;B1LFW1;B1XBF6;B2U250;B4T6J1;B4TIG4;B5BL41;B5F744;B5FHF8;B5YYC3;B6HYX9;B7L4F3;B7LWM1;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q5PIL9;Q83SQ9;Q8FLB4;Q8Z9L9	DAPB_CITK8;DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_ESCF3;DAPB_SALA4;DAPB_SALDC;DAPB_SALHS;DAPB_SALNS;DAPB_SALPA;DAPB_SALPB;DAPB_SALPK;DAPB_SALTI;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	2	2	7792.26
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	101911
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	12	12	776503
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1	1	1655.37
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	5	3	1.6375e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	6	6	469094
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	1	1	75432.7
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	22	22	930200
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	3	107437
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	1.30832e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3	3	493969
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	17	2	5.86495e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	110227
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	2	2	222175
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2	2	37619.3
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	34	34	3.32166e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	308111
