Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57354.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	235443
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	2.35283e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	167989
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	459.743
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	7152.12
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	3620.88
A0A1B0GVH6	CM042_HUMAN	C13orf42	Uncharacterized protein C13orf42	1	1	2076.5
A0A1B0GWB2	PRT1B_HUMAN	PRRT1B	Proline rich transmembrane protein 1B	1	1	3.42998e+06
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	2	2	360298
A0A8X6EH27	CAPW_STEMA	capW	DNA-binding transcriptional repressor CapW	1	1	2.92108e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	8	8	3.30648e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	26	26	1.58064e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	18	18	1.98408e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	1	1	355165
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	19	19	1.76499e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	261056
