Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57378.raw
A0A075B6W5	TVA23_HUMAN	TRAV23DV6	T cell receptor alpha variable 23/delta variable 6	1	1	424991
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	2.85559e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	420780
A0A0F5HPP7	ENCAP_BACTR	enc	Type 1 encapsulin shell protein	1	1	143876
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	10045.4
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	5905.27
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	57079.7
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	24	24	5.96992e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	15	15	1.97535e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	14	14	2.6554e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	292916
A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	1	1	7259.22
A1A780;A7ZHC0;A7ZVX9;A8ALS4;A9MYI6;B1IRE5;B1LFW1;B1XBF6;B2U250;B4T6J1;B4TIG4;B5BL41;B5F744;B5FHF8;B5YYC3;B6HYX9;B7L4F3;B7LWM1;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q5PIL9;Q83SQ9;Q8FLB4;Q8Z9L9;Q8ZRX8	DAPB_CITK8;DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_ESCF3;DAPB_SALA4;DAPB_SALDC;DAPB_SALHS;DAPB_SALNS;DAPB_SALPA;DAPB_SALPB;DAPB_SALPK;DAPB_SALTI;DAPB_SALTY;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	2332.96
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	147548
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	8	8	3.06522e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	2	2	1024.93
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	4	4	3.61939e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	6	6	53498.4
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	6392.87
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	18	18	633434
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	2	0	9086.81
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	163174
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	13	2	7.96869e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	6713.65
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1	1	9474.03
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	4.72657e+06
A5ULF7	DAPB_METS3	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	50754.3
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	33	33	2.3847e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	86787.2
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	801411
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	1.03271e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	53875.9
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.44291e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	24	24	2.45837e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	1.12848e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	70903.2
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2	2	1.92844e+06
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	3	3	165922
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	8	1	2.86629e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	7091.01
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	3.48846e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	2	2	106184
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	26	24	3.72478e+06
B3VI55	LGK_LIPST		Levoglucosan kinase	1	1	3.84991e+06
B4SRX7	DAPA_STRM5	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	3794.08
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3	0	1.49219e+06
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	1	1	35621.4
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	1	1	5282.24
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	7.35048e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	8.90389e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	7	0	2.75933e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3	3	1.37115e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	1	1	3.10041e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	765958
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	12	12	851481
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	1	1	50429.5
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	8	8	241897
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	12	4	1.0019e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8	8	4.70652e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	7	7	1.90519e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	22	22	2.05199e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5	5	1.41081e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	5	5	369167
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	9	9	1.16762e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	11	11	851584
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	9	9	6.53455e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	3	3	7596.85
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	76125.5
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	1	1	2748.27
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	14	12	792581
