Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57370.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	221143
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	2.92271e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	221732
A0A0C4DH73;P01611	KV112_HUMAN;KVD12_HUMAN	IGKV1-12;IGKV1D-12	Immunoglobulin kappa variable 1-12	1	0	2243.37
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	87969.2
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	109839
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	4110.01
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	2	2	424769
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	5	5	340179
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	23	23	8.44901e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	13	13	1.60835e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	16	16	1.27514e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	329902
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	2	2	4453.97
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	2	0	81347.7
