Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57349.raw
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	10	0	2.13207e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	17309.6
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	2097.89
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	139804
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	71276.4
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	9	9	3.36523e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	8	8	739715
A0AVK6	E2F8_HUMAN	E2F8	Transcription factor E2F8	1	1	1194.01
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	29	29	5.28828e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	19	19	2.65299e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	2	2	397333
A0L4Z4	DAPB_MAGMM	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	67152.8
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	18	18	3.13815e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	414110
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	6743.61
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	4	4	546040
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	7	0	4.43548e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	4	4	44121.9
A1KXE4	F168B_HUMAN	FAM168B	Myelin-associated neurite-outgrowth inhibitor	1	1	148793
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	12	12	2.06631e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	2	2	2672.06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3	3	1.58538e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	10	10	792678
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	3	3	172092
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	27	27	1.32418e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	7	4	80712.9
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	8	8	322896
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	5	5	441607
A5A614	YCIZ_ECOLI	yciZ	UPF0509 protein YciZ	1	1	1044.65
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	21	3	8.25933e+07
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1	1	7917.74
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	69855.8
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	44	44	3.366e+06
A5YM69	ARG35_HUMAN	ARHGEF35	Rho guanine nucleotide exchange factor 35	1	1	635.22
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	271271
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	2.19486e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	10	10	3.00456e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	270145
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	2855.1
A6NEF3	GG6L4_HUMAN	GOLGA6L4	Golgin subfamily A member 6-like protein 4	1	0	220322
A6NEL3;P0C5J1;Q8N7N1;Q96G04	EF2KT_HUMAN;F86B1_HUMAN;F86B2_HUMAN;F86C2_HUMAN	EEF2KMT;FAM86B1;FAM86B2;FAM86C2P	Putative protein FAM86C2P	1	0	164940
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	1	1	72971.1
A6NGC4	TLCD2_HUMAN	TLCD2	TLC domain-containing protein 2	1	1	1140.7
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.99201e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	36	36	1.59889e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	1.00754e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3	3	5050.74
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	5	5	783468
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	2	1	97046.7
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	7	7	3.76893e+06
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	12	1	1.05112e+06
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	3	0	6.0462e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	2	2	61479.7
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	2	0	3.86673e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	4	4	733796
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	2	2	101585
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	31	29	6.44553e+06
