Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57364.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	267515
A0A024RBG1;Q9NZJ9	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	2	0	12605.6
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	3.79888e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	171716
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	3150.82
A0A0S2DNK1	PROT1_LYSEN	BV903_13690	Probable serine protease FE772_23060	2	2	641432
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	307273
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	7839.44
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	7	7	520671
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	26	26	868739
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	17	17	2.68798e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	14	14	1.76994e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	651773
A1A780;A7ZHC0;A7ZVX9;A8ALS4;A9MYI6;B1IRE5;B1LFW1;B1XBF6;B2U250;B4T6J1;B4TIG4;B5BL41;B5F744;B5FHF8;B5YYC3;B6HYX9;B7L4F3;B7LWM1;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q5PIL9;Q83SQ9;Q8FLB4;Q8Z9L9	DAPB_CITK8;DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_ESCF3;DAPB_SALA4;DAPB_SALDC;DAPB_SALHS;DAPB_SALNS;DAPB_SALPA;DAPB_SALPB;DAPB_SALPK;DAPB_SALTI;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	2050.72
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	4	0	219598
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	13	13	580549
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1	1	5.21187e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	6	6	393854
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	6289.66
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	22	22	1.50893e+07
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	4	28825.2
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	350350
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2	2	3437.05
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	18	2	9.16683e+07
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2	2	5.06932e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	36	36	4.51902e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	661112
A6H8Y1	BDP1_HUMAN	BDP1	Transcription factor TFIIIB component B'' homolog	2	2	57338.5
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	2.08706e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	950345
A6NDR6;O00470;O14770;Q99687	ME3L1_HUMAN;MEIS1_HUMAN;MEIS2_HUMAN;MEIS3_HUMAN	MEIS1;MEIS2;MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	1	0	9943.93
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	417324
A6NEF3;A6NEM1;A6NI86;H0YKK7	GG6L4_HUMAN;GG6L9_HUMAN;GG6LA_HUMAN;GG6LS_HUMAN	GOLGA6L10;GOLGA6L19;GOLGA6L4;GOLGA6L9	Golgin subfamily A member 6-like protein 4	1	0	995303
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	3.31479e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	24	24	2.05539e+06
A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	1	1	6051.86
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	5.85384e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	67134.2
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	4	4	2.45435e+06
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2	2	146325
A7ZB70	DAPB_CAMC1	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	92854.4
A7ZPS4;A8A2X1;A9MHQ2;B1IWI1;B1LNC8;B2TXQ4;B4TR62;B5BB16;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74;Q5PLS1;Q8Z4R8;Q8ZN71	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_SALAR;DAPA_SALPA;DAPA_SALPK;DAPA_SALSV;DAPA_SALTI;DAPA_SALTY;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2	2	12112.5
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1	1	78239.3
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	1	0	1437.7
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	6730.37
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	4.58603e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	102891
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	29	27	4.8486e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	4	0	2.38082e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2	0	9131.07
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	1	1	215914
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	1	1	3073.22
E0SDG8	CDIA_DICD3	cdiA	Deoxyribonuclease CdiA	1	1	961727
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	1.04707e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2	2	1.16924e+06
G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	1	0	2.46619e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	3	3	1.06986e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	1.40028e+07
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3	3	956404
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	14	14	1.64568e+06
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	1	1	5300.68
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	11	10	1.60155e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	4	4	337524
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5	5	1.46464e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	8	8	1.11996e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	11	11	2.40779e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	23	23	3.75611e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5	5	1.66362e+07
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	6	6	650102
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	12	12	1.40392e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	10	10	972035
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	10	10	4.35946e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	4	4	41339.1
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	1.2345e+06
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	2	2	143470
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	16	14	939279
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	5	5	954561
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	19	18	9.82952e+06
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	13	13	3.52498e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8	8	3.84451e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	2.15494e+06
O00255	MEN1_HUMAN	MEN1	Menin	4	4	94079.4
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	4	4	11140.6
O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	1	1	13483.2
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	5	5	9.55121e+06
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	25	25	1.09254e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	5	4	557285
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	10	10	1.14517e+06
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	2	2	39811.1
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	4	4	414909
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	11	11	1.44879e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	7.22256e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	10	10	3.24938e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	2	2	156172
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1	1	50349.6
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	6	6	193247
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	3	3	1.78328e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	31	30	3.63698e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	3	3	12277.6
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	3	3	4887.31
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3	3	1.63922e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	16	15	1.75375e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	23	23	2.31966e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	5	5	4.06851e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	7	7	169367
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	6	6	2.21612e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	12	12	1.31183e+06
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1	1	320439
O00468	AGRIN_HUMAN	AGRN	Agrin	16	16	406425
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5	5	420603
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	7	7	385304
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	4.2837e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	4	4	769676
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	941325
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	5	5	4.41638e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	3	3	451603
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	17	17	8.8996e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	16	16	2.03833e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3	3	302414
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	6	6	11729.1
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	5	5	316775
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	17	17	2.3728e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	22	8	8.94106e+06
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	3	3	377522
O00592	PODXL_HUMAN	PODXL	Podocalyxin	6	6	5.60487e+06
O00622	CCN1_HUMAN	CCN1	CCN family member 1	2	2	5792.34
O00625	PIR_HUMAN	PIR	Pirin	5	5	1.7591e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	8	4	3.05095e+06
