Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57379.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	266479
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	2.46649e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	390498
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	2	2	45927.4
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	222818
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	6540.71
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	4	4	4.0198e+06
A0A8X6EH27	CAPW_STEMA	capW	DNA-binding transcriptional repressor CapW	1	1	638945
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	7	7	255686
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	22	22	4.03039e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	16	16	2.98631e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	17	17	3.02531e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	442759
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	3	3	59915.1
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	4	0	3.57468e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	4	4	801296
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10	10	3.42826e+06
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	2	2	11301.5
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	1	1	35667
A1T7N8	DAPB_MYCVP	dapB	4-hydroxy-tetrahydrodipicolinate reductase	1	1	78961
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	1	1	3.70347e+06
A2A3N6	PIPSL_HUMAN	PIPSL	Putative PIP5K1A and PSMD4-like protein	4	1	300082
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	9	9	791457
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	1	1	12153.9
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	22	22	6.82861e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	7	5	3.59935e+06
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	199770
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	11	1	1.05004e+08
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	12821.4
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1	1	59287.4
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	34	34	3.79742e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	78111.8
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	669733
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	1.42215e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	223199
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	138742
A6NER3	GG12J_HUMAN	GAGE12J	G antigen 12J	1	1	166960
A6NGB9	WIPF3_HUMAN	WIPF3	WAS/WASL-interacting protein family member 3	1	1	96328.1
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.63687e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	31	31	1.13202e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	591969
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	50434.7
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	4	4	251708
A6NMU1	O52A4_HUMAN	OR52A4P	Olfactory receptor 52A4	1	1	69090.2
A6NNY8;Q9UPT9	UBP22_HUMAN;UBP27_HUMAN	USP22;USP27X	Ubiquitin carboxyl-terminal hydrolase 27	1	0	170850
A6Q2V4	DAPA_NITSB	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	183164
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	323414
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	10	1	239500
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	1	0	5473.3
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	40610.1
