Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57355.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	592394
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	3.28079e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	300612
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	7150.56
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	68934.7
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	3815.62
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	7	7	1.67583e+06
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	9	9	3.222e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	26	26	4.02934e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	18	18	3.16009e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	25	25	2.11786e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	428501
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	18554
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	6	0	3.06591e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	5	5	1.11916e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	12	12	556530
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	253371
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	4	4	3.40352e+06
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	6	5	573367
