Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57367.raw
A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	1	1	223444
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	2.67193e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	118384
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	2	2	54789.1
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	5042.75
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	4320.83
A0A1W2PPF3	DUXB_HUMAN	DUXB	Double homeobox protein B	1	1	778989
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	8	8	445415
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	163786
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	26	26	2.49332e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	16	16	2.78225e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	2	2	9837.17
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	19	19	1.99573e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	285340
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	1	1	1779.2
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	5	0	2.99735e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	5	5	503297
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	13	13	2.48145e+06
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	2	2	98175.1
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2	1	220421
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	9	9	585302
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	3145.23
A2RUB6	CCD66_HUMAN	CCDC66	Coiled-coil domain-containing protein 66	1	1	105999
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	1	1	2887.4
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	22	22	2.06849e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	4	195357
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	576920
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1	1	7755.62
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	11	1	7.10486e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	22724.2
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1	1	18676.4
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	2	2	5067.97
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	45	45	1.62988e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	106515
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	605178
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	10	10	4.24007e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	537488
A6NER3	GG12J_HUMAN	GAGE12J	G antigen 12J	1	1	97865.8
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	1.70614e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	37	37	2.81602e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	770593
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	1	1	5567.94
A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPYA_HUMAN	TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8	Testis-specific Y-encoded protein 2	1	0	763819
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	5	5	555721
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2	2	120424
A7ZHC0;A7ZVX9;B1IRE5;B1XBF6;B6HYX9;B7L4F3;B7M0C7;B7N7Q5;C4ZPV7;P04036;Q326J2;Q3Z5X9	DAPB_ECO24;DAPB_ECO55;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_SHIBS;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	4	4	69283.2
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	514704
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1	1	8526.46
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	4	0	116537
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	6087.4
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	2	0	6.36291e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	344075
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	29	28	2.59968e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3	0	617584
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	1	0	1.05093e+06
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1	1	1703.09
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	1	1	70472.7
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	6.59416e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	4	4	3.81534e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	9	0	2.55488e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	1.17915e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	74666.9
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1	1	138766
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5	5	1.50948e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	15	15	766591
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	1	1	2670.03
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	15	13	1.0829e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	3	3	56179.8
O00142	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	2	2	366497
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	14	6	8.73885e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	6	6	1.073e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	10	8	1.45515e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	27	27	1.69217e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	6	6	3.5272e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	7	7	423572
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	11	11	941259
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	11	11	706802
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	15	15	4.71407e+06
