Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251031173233.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101011756.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101093153.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031190108.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031234918.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251101070439.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251031202946.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101024632.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101083316.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251031212821.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101060602.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101034509.raw
A1L0T0		ILVBL		2	2	1.67275e+06	2.65585e+06	2.25009e+06	4.50606e+06	6.76972e+06	3.75186e+06	5.44696e+06	8.55512e+06	5.38373e+06	6.44865e+06	5.64559e+06	5.5226e+06
A5A3E0		POTEF		2	1	1.38482e+06	1.3196e+06	1.01914e+06	2.74332e+06	2.05077e+06	1.91246e+06	2.6109e+06	2.52929e+06	2.2858e+06	2.59591e+06	2.74586e+06	2.4064e+06
A6NHL2		TUBAL3		1	1	1.58448e+07	1.48001e+07	1.64262e+07	1.80697e+07	1.71219e+07	1.85331e+07	1.61882e+07	1.97239e+07	2.18164e+07	2.0457e+07	2.10836e+07	2.11191e+07
A6NHR9		SMCHD1		1	1	998871	1.25867e+06	926212	852272	987026	674445	2.14982e+06	2.26511e+06	1.38351e+06	1.58038e+06	1.90412e+06	1.17564e+06
A8MUU1		FABP5P3		1	0	4.54866e+06	3.26699e+06	4.05045e+06	5.43191e+06	4.27911e+06	6.30836e+06	8.62223e+06	7.51758e+06	6.05102e+06	9.47496e+06	7.99998e+06	7.91273e+06
A8MWD9		SNRPGP15		1	0	1.97445e+07	2.43421e+07	2.84372e+07	3.23259e+07	2.11901e+07	2.33153e+07	2.87057e+07	2.90332e+07	2.95655e+07	2.92171e+07	2.77025e+07	2.6596e+07
E9PAV3		NACA		3	3	6.50726e+07	9.61827e+07	8.70337e+07	8.07164e+07	9.14417e+07	8.77675e+07	7.04445e+07	7.01222e+07	6.82071e+07	7.9812e+07	7.34875e+07	7.26432e+07
G2XKQ0		SUMO1P1		1	0	5.16825e+06	6.65485e+06	5.04481e+06	5.4166e+06	5.01861e+06	5.38374e+06	5.0923e+06	4.70168e+06	5.37018e+06	5.04345e+06	5.1663e+06	4.47638e+06
O00115		DNASE2		1	1			4.85708e+06	4.17787e+06	3.94858e+06		3.91547e+06	6.16279e+06	5.67189e+06	3.81832e+06	5.13971e+06	4.38404e+06
O00116		AGPS		2	2	2.90878e+06	4.61762e+06	4.76924e+06	2.70526e+06	3.17755e+06	3.87349e+06	7.20041e+06	7.59553e+06	7.9655e+06	5.55937e+06	6.4659e+06	5.21138e+06
O00148		DDX39A		1	1	9.59337e+06	3.81372e+06	9.03055e+06	8.43078e+06	8.86301e+06	8.49801e+06	1.10428e+07	9.55537e+06	9.87654e+06	8.31172e+06	9.25951e+06	9.55005e+06
O00170		AIP		2	2	7.32394e+06	5.49895e+06	4.01345e+06	9.45615e+06	5.0929e+06	4.35756e+06	6.589e+06	5.36074e+06	5.15517e+06	6.46175e+06	7.59965e+06	6.79286e+06
O00203		AP3B1		1	1	2.15364e+06	1.72565e+06	2.5358e+06	3.79491e+06	3.20534e+06	2.8124e+06	2.56464e+06	4.82081e+06	2.84336e+06	3.50256e+06	3.10693e+06	2.9359e+06
O00231		PSMD11		3	3	1.24826e+07	1.41973e+07	1.3645e+07	2.18157e+07	1.83154e+07	1.77284e+07	1.37297e+07	1.52192e+07	1.64386e+07	1.96072e+07	1.90315e+07	2.15291e+07
O00232		PSMD12		1	1	2.89321e+07	2.27227e+07	2.84323e+07	2.97275e+07	2.69106e+07	2.62628e+07	2.95284e+07	2.21445e+07	2.21011e+07	2.66613e+07	2.36529e+07	2.41726e+07
O00264		PGRMC1		1	1	8.05023e+06	9.02415e+06	1.16636e+07	1.36502e+07	1.50774e+07	1.06046e+07	9.0978e+06	8.63752e+06	9.50881e+06	9.58576e+06	9.45476e+06	9.29562e+06
O00267		SUPT5H		1	1	567326	6.43283e+06	2.20562e+06	4.33219e+06	5.21602e+06	4.91119e+06						
O00299		CLIC1		7	7	4.53812e+07	4.64711e+07	4.28981e+07	6.82486e+07	6.30324e+07	5.67906e+07	4.81316e+07	4.85059e+07	5.11277e+07	5.45141e+07	5.4339e+07	5.27972e+07
O00303		EIF3F		5	5	1.31533e+07	1.6503e+07	1.7707e+07	1.81489e+07	1.68059e+07	1.75084e+07	1.77502e+07	2.05991e+07	2.05328e+07	2.0368e+07	1.86212e+07	1.84962e+07
O00410		IPO5		12	11	1.26317e+07	1.36881e+07	1.21463e+07	1.67031e+07	1.49391e+07	1.58515e+07	1.53855e+07	1.56371e+07	1.48858e+07	1.54602e+07	1.53428e+07	1.76525e+07
O00425		IGF2BP3		4	3	3.69966e+06	3.89517e+06	3.92736e+06	5.69467e+06	5.36516e+06	5.70174e+06	5.50925e+06	5.61547e+06	5.11196e+06	6.27426e+06	6.23024e+06	6.31394e+06
O00429		DNM1L		3	3	1.88497e+06	2.31829e+06	2.82854e+06	3.97005e+06	4.0823e+06	3.36498e+06	2.91145e+06	3.66325e+06	3.64853e+06	4.06018e+06	4.31347e+06	4.913e+06
O00483		NDUFA4		2	2	3.00112e+07	2.66415e+07	2.4629e+07	2.67162e+07	2.63854e+07	2.485e+07	2.87116e+07	2.27087e+07	2.44084e+07	2.49631e+07	2.44817e+07	2.26766e+07
O00505		KPNA3		1	1							1.77893e+06	3.10211e+06	2.10882e+06	2.86681e+06	2.7296e+06	3.80621e+06
O00506		STK25		1	0	7.13683e+06	9.02058e+06	1.30028e+07	2.08704e+07	2.17008e+07	9.90895e+06	1.20044e+07	1.22926e+07	1.19618e+07	1.4066e+07	1.39216e+07	1.21425e+07
O00541		PES1		2	2	6.83489e+06	8.01635e+06	7.5155e+06	6.131e+06	5.14625e+06	6.28117e+06	6.70232e+06	6.16657e+06	4.76077e+06	3.5994e+06	2.75016e+06	3.1256e+06
O00560		SDCBP		1	1	1.07968e+06	1.44689e+06	1.27707e+06	1.56595e+06	1.98809e+06	1.15495e+06	1.24613e+06	1.0505e+06	1.1415e+06	1.25253e+06	1.37333e+06	1.25659e+06
O00567		NOP56		6	6	1.16707e+07	1.28549e+07	1.20825e+07	1.41662e+07	1.19136e+07	1.52832e+07	1.50487e+07	1.3677e+07	1.29704e+07	1.52505e+07	1.3837e+07	1.53542e+07
O00571		DDX3X		9	3	2.7054e+07	2.45115e+07	2.30139e+07	3.52584e+07	3.08415e+07	3.10344e+07	2.71349e+07	2.62619e+07	2.63354e+07	3.04443e+07	3.01045e+07	3.06044e+07
O00592		PODXL		2	2	2.68672e+07	3.56639e+07	3.08357e+07	2.89543e+07	2.86259e+07	3.13945e+07	2.49251e+07	2.66348e+07	3.47143e+07	2.64989e+07	2.53983e+07	2.608e+07
O00625		PIR		2	2	867215	1.35731e+06	1.35747e+06	663777	735876	874741	1.93091e+06	2.74036e+06	1.90644e+06	1.96696e+06	2.41489e+06	2.59137e+06
O00629		KPNA4		5	5	3.14105e+06	6.16088e+06	5.803e+06	6.16653e+06	7.39276e+06	6.9355e+06	8.07058e+06	9.25615e+06	1.00559e+07	9.27687e+06	1.0516e+07	1.0005e+07
O00764		PDXK		3	3	6.11188e+06	7.64699e+06	6.44372e+06	8.65551e+06	8.1671e+06	7.19675e+06	9.58256e+06	1.08593e+07	1.13232e+07	1.25556e+07	1.28873e+07	1.55428e+07
O00767		SCD		4	4	1.37581e+07	1.8226e+07	2.03907e+07	3.35635e+07	1.96366e+07	2.0808e+07	1.86481e+07	2.14406e+07	2.04602e+07	2.70092e+07	2.33976e+07	2.28782e+07
O13516		RPS9A		1	1	2.50197e+07	3.09044e+07	3.50173e+07	7.90013e+06	3.73492e+06	6.17393e+06	4.66336e+07	5.35153e+07	3.602e+07	1.56551e+07	1.86278e+07	1.60622e+07
O14455		RPL36B		3	0	3.58524e+08	4.20601e+08	3.67175e+08	1.6922e+08	1.60142e+08	1.70731e+08	3.91295e+08	3.37238e+08	3.98206e+08	1.76924e+08	1.72436e+08	1.63072e+08
O14467		MBF1		5	5	1.58799e+08	1.64159e+08	1.46353e+08	6.57413e+07	6.43789e+07	6.44867e+07	1.51509e+08	1.66629e+08	1.27638e+08	6.63088e+07	6.89564e+07	6.11436e+07
O14561		NDUFAB1		1	1	3.05442e+07	2.92766e+07	2.97768e+07	5.83663e+07	5.57066e+07	5.38783e+07	3.70791e+07	4.02425e+07	4.65115e+07	4.29129e+07	4.23654e+07	5.79218e+07
O14579		COPE		2	2	1.7338e+06	3.70722e+06	4.52473e+06	4.53757e+06	2.92157e+06	3.36569e+06	1.5709e+07	1.60669e+07	1.35517e+07	1.61393e+07	1.72492e+07	1.80661e+07
O14684		PTGES		1	1	1.47129e+07	1.42668e+07	1.24106e+07	1.1844e+07	1.26957e+07	1.06049e+07	1.39114e+07	1.15516e+07	1.33767e+07	1.36844e+07	1.37916e+07	1.349e+07
O14737		PDCD5		4	4	1.34013e+07	1.14647e+07	1.46457e+07	1.95167e+07	1.99225e+07	1.72936e+07	1.85511e+07	1.5991e+07	1.71062e+07	1.79823e+07	1.81993e+07	1.62817e+07
O14744		PRMT5		3	3	8.78061e+06	9.50082e+06	8.81088e+06	8.74208e+06	8.37216e+06	8.7642e+06	8.42823e+06	1.0237e+07	8.71625e+06	1.00726e+07	9.16389e+06	8.24457e+06
O14745		NHERF1		3	3	9.61689e+06	1.19807e+07	9.90382e+06	1.02442e+07	9.1524e+06	9.61835e+06	9.21557e+06	1.07974e+07	1.08808e+07	1.09799e+07	1.05691e+07	1.03301e+07
O14773		TPP1		2	2	8.81911e+06	1.01695e+07	7.20188e+06	6.9427e+06	7.49277e+06	6.38009e+06	8.02918e+06	1.00211e+07	8.61609e+06	7.60335e+06	7.91429e+06	7.97863e+06
O14804		TAAR5		1	1	2.05026e+07	2.27121e+07	2.06781e+07	8.53416e+06	5.58239e+06	7.96171e+06	2.00548e+07	2.5526e+07	1.6221e+07	7.26895e+06	7.92894e+06	7.50624e+06
O14818		PSMA7		7	3	4.3948e+07	4.97125e+07	4.42927e+07	4.95136e+07	4.64195e+07	4.61479e+07	4.39636e+07	4.58018e+07	4.64801e+07	4.49093e+07	4.36719e+07	4.31104e+07
O14828		SCAMP3		1	1	8.6819e+06	1.10645e+07	9.20762e+06	9.32962e+06	1.01875e+07	1.48486e+07	1.32221e+07	1.04826e+07	1.07156e+07	1.07738e+07	1.03917e+07	1.11314e+07
O14880		MGST3		1	1	5.6041e+06	5.03306e+06	5.30473e+06	4.62341e+06	3.09977e+06	4.87518e+06	4.16696e+06	4.641e+06	4.33983e+06	6.26212e+06	5.51644e+06	5.3936e+06
O14929		HAT1		1	1	4.2849e+06	5.0544e+06	4.05066e+06	5.01368e+06	4.35381e+06	4.31766e+06	6.03964e+06	6.63247e+06	6.31195e+06	6.46326e+06	6.36017e+06	6.13196e+06
O14950		MYL12B		4	0	2.23503e+07	2.18811e+07	2.23223e+07	3.13606e+07	2.28511e+07	2.81062e+07	2.16317e+07	2.32704e+07	2.4871e+07	2.53472e+07	2.6301e+07	2.42894e+07
O14964		HGS		1	1	4.15295e+06	5.26868e+06	6.85091e+06	3.79179e+06	3.99353e+06	2.45975e+06	7.93514e+06	7.14031e+06	6.08611e+06	6.58576e+06	6.0418e+06	5.19612e+06
O14975		SLC27A2		5	5	1.06169e+07	1.39494e+07	1.22955e+07	1.66432e+07	1.61962e+07	1.36406e+07	1.31734e+07	1.38099e+07	1.33941e+07	1.54804e+07	1.60075e+07	1.4846e+07
O14979		HNRNPDL		7	5	7.22369e+07	9.69692e+07	8.38919e+07	8.89297e+07	7.67291e+07	9.14356e+07	7.58847e+07	7.30579e+07	7.6923e+07	8.408e+07	8.00414e+07	8.02426e+07
O14980		XPO1		7	7	1.72959e+07	2.74676e+07	2.33407e+07	1.75037e+07	2.40103e+07	2.81756e+07	3.85342e+07	4.33348e+07	4.07246e+07	3.67477e+07	3.7529e+07	3.9702e+07
O15042		U2SURP		1	1	131008	959876	1.10869e+06	651379	463507	546402	1.70851e+06	1.97794e+06	1.47021e+06	1.03822e+06	1.1831e+06	1.16253e+06
O15067		PFAS		2	2	2.43081e+06	3.53215e+06	3.18314e+06	7.21315e+06	9.12023e+06	5.92671e+06	8.67143e+06	7.53512e+06	7.76712e+06	8.95753e+06	8.28165e+06	6.65692e+06
O15143		ARPC1B		3	3	6.3302e+06	6.27855e+06	5.73162e+06	3.71006e+06	5.06587e+06	5.86468e+06	7.29014e+06	8.91984e+06	7.48077e+06	6.19989e+06	7.45995e+06	6.12267e+06
O15144		ARPC2		2	2	3.59621e+06	5.53302e+06	4.57137e+06	6.43428e+06	4.59047e+06	4.72661e+06	5.42355e+06	6.39034e+06	6.34665e+06	5.96158e+06	6.02525e+06	5.34809e+06
O15145		ARPC3		1	1	2.96732e+06	2.34953e+06	5.21358e+06	8.94254e+06	7.79346e+06	1.11932e+07	4.58445e+06	4.93164e+06	3.90564e+06	6.54717e+06	5.99403e+06	9.42716e+06
O15160		POLR1C		1	1	822683	623733	817390	1.82382e+06	1.51276e+06	1.97507e+06	975221	1.16097e+06	1.30756e+06	1.83432e+06	1.8101e+06	2.57391e+06
O15173		PGRMC2		2	2	2.15123e+07	2.47353e+07	2.21868e+07	2.0724e+07	2.1123e+07	1.96579e+07	2.50225e+07	2.02012e+07	2.18939e+07	2.14384e+07	2.10889e+07	2.04593e+07
O15212		PFDN6		2	2	8.58255e+06	1.09128e+07	9.41018e+06	1.06354e+07	1.26221e+07	1.3043e+07	1.18627e+07	9.70636e+06	1.07273e+07	1.24751e+07	1.12838e+07	1.09223e+07
O15260		SURF4		3	3	1.3135e+07	2.0046e+07	1.54927e+07	1.64552e+07	1.58244e+07	1.43525e+07	2.31195e+07	2.60291e+07	2.60882e+07	2.44854e+07	2.38608e+07	3.16289e+07
O15347		HMGB3		2	2	2.52846e+07	2.70274e+07	2.99054e+07	3.99631e+07	3.71776e+07	3.8372e+07	2.59294e+07	2.11622e+07	2.00593e+07	2.61069e+07	2.6446e+07	2.59133e+07
O15355		PPM1G		4	4	8.92157e+06	1.21118e+07	1.16998e+07	1.1748e+07	1.13173e+07	1.2569e+07	1.50415e+07	1.56916e+07	1.28304e+07	1.33413e+07	1.44666e+07	1.17685e+07
O15371		EIF3D		9	9	1.05879e+07	1.09267e+07	8.76672e+06	1.03061e+07	1.00507e+07	1.15219e+07	1.25785e+07	1.34185e+07	1.56031e+07	1.51503e+07	1.40627e+07	1.43348e+07
O15372		EIF3H		1	1	8.38153e+06	7.87386e+06	8.43465e+06	6.90623e+06	6.56365e+06	5.2627e+06	1.27292e+07	1.14979e+07	1.00182e+07	7.87952e+06	8.30542e+06	7.64117e+06
O15382		BCAT2		2	2	911455	936862	1.08183e+06	969417	809487	1.6641e+06	2.30593e+06	3.23678e+06	3.20788e+06	3.08698e+06	2.98564e+06	2.41174e+06
