Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57359.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	359905
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	3.36743e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	340504
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	2	2	7346.63
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	120118
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	4115.94
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	8	8	994623
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	10	10	1.63816e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	26	26	900395
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	18	18	2.49813e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	4	4	303991
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	21	21	2.62744e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	4	4	506800
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	1	1	2101.78
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	4	4	414716
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	7	0	3.94543e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	3	3	2.1291e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	14	14	1.40792e+06
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	661288
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	3	3	48371.4
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13069;Q13070;Q4V321;Q4V326	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	1	0	60715.2
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	5	4	377317
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	14	14	1.21918e+06
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	1	1	48883.4
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	23	23	1.52413e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	4	3	195944
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	8	8	576083
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3	3	98488.6
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	20	2	7.36641e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	2	2	85984
A5PLL7	TM189_HUMAN	TMEM189	Plasmanylethanolamine desaturase	1	1	12074.5
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	43	43	9.63303e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	168913
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2	0	2.02235e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	10	10	2.63575e+06
A6NDR6;O00470;O14770;Q99687	ME3L1_HUMAN;MEIS1_HUMAN;MEIS2_HUMAN;MEIS3_HUMAN	MEIS1;MEIS2;MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1	1	0	6439.54
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	520780
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	220348
