Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115025008.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115033552.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115204614.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115221736.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115213154.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115230314.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115174338.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115191457.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115182919.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115200036.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115042134.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115045713.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115002713.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115013840.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115010255.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115021423.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115144058.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115161218.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115152638.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115113819.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115165758.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115130939.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115122357.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115135518.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114220425.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114231551.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114205301.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114235131.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114224008.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114212844.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115100659.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115083541.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114160714.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114171857.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115105239.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115092119.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115053257.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115070419.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114183015.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115075001.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115061839.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114175434.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114164316.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114190554.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114194135.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114201718.raw
A0A024R1R8		TMA7B		1	0							4.7552e+06	4.68284e+06	4.56405e+06	4.62458e+06			3.15928e+06	4.08566e+06	4.36676e+06	4.14178e+06				3.72703e+06		3.56196e+06	4.2179e+06	3.90603e+06			3.9434e+06			3.60131e+06	4.45343e+06			4.79488e+06				4.59796e+06	5.03698e+06	4.74292e+06		4.70155e+06	5.13155e+06		4.44488e+06		3.72823e+06	4.65916e+06
A0A024RBG1		NUDT4B		1	0	13257.6	17926.3	11699.4	11240.5	11158.5	15377.2	20829.1	16125.2	12533.8	11024.7	15723.5	12580.9	16098.2	8819.11	19878.8	17736.1	15094.5	13816.3	14731.5	13406.5	11364.1	19772.5	14245.6	19495.6	13126.1	15382.6	12625.1	16937.8	14192.9	12013.7	10434.7	13945	17072.8	21169.5	16644.2	14462	19304	10179.1	9677.49	13145.4	16376.4	16832.8	8487.55	15909.6	15269.9	16998.6	16152.4	16100.6
A0A0B4J2F0		PIGBOS1		1	1	239519	242534	209836	170171	218378	189927	102925	136599	147164	120165	295126	274554	124060	110915	167315	149788	285918	192957	140725	180171	189095	257877	171871	154863	232660	227640	231041	253736	240649	158088	228156	147396	248734	226796	260060	123379	163537	225215	185411	256889	183574	112593	236885	199687	237596	194990	205090	188892
A0A1B0GUW6		SPEM3		1	1	1.19445e+06	2.72849e+06	886033	1.41887e+06	2.71865e+06	2.50383e+06	2.20798e+06	2.31011e+06	3.24801e+06	3.49338e+06	1.46212e+06	2.54673e+06	2.05611e+06	2.21956e+06	3.18968e+06	3.3747e+06	2.12425e+06	2.02138e+06	3.4629e+06	2.21794e+06	3.31809e+06	1.77913e+06	3.48753e+06	3.31766e+06	1.72559e+06	1.80015e+06	2.09545e+06	2.85132e+06	3.13577e+06	3.16124e+06	1.27865e+06	1.30498e+06	1.31597e+06	1.44109e+06	1.26318e+06	2.19524e+06	2.46477e+06	1.30147e+06	1.48797e+06	2.19606e+06	1.37305e+06	2.42204e+06	2.21322e+06	2.06176e+06	2.14512e+06	2.29438e+06	1.21825e+06	2.04795e+06
A0A6Q8PH20		CAST		23	23	4.92143e+06	4.93705e+06	4.68304e+06	4.70111e+06	4.66381e+06	4.8451e+06	4.36332e+06	4.67869e+06	4.30659e+06	4.49558e+06	5.4948e+06	5.22877e+06	5.23876e+06	4.97065e+06	4.8547e+06	4.99128e+06	4.89832e+06	5.05639e+06	4.78813e+06	4.80017e+06	4.78228e+06	5.11425e+06	5.28831e+06	4.6406e+06	5.16392e+06	5.43261e+06	5.51878e+06	5.31304e+06	5.32221e+06	5.39824e+06	5.20961e+06	4.64201e+06	4.58432e+06	5.44005e+06	5.48027e+06	4.96068e+06	4.86428e+06	4.71945e+06	4.58619e+06	5.36991e+06	5.32471e+06	4.61307e+06	4.6933e+06	5.15053e+06	5.08903e+06	5.15381e+06	5.25913e+06	5.17414e+06
A0AVT1		UBA6		7	7	391656	456898	378014	467504	442378	430305	339601	345300	372100	413881	447717	451668	345580	391932	414500	426571	333311	374346	396130	322952	447958	359301	378917	405854	387918	346126	392066	408511	459683	413005	421659	385377	342842	398658	364941	411576	357506	354755	343767	416293	348946	395678	365956	404237	455342	402204	488099	406809
A0FGR8		ESYT2		7	7	1.19172e+06	1.42545e+06	1.2823e+06	1.16307e+06	1.443e+06	1.30639e+06	1.1801e+06	1.44458e+06	1.22642e+06	1.47065e+06	1.48356e+06	1.71203e+06	1.42167e+06	1.3401e+06	1.58217e+06	1.45832e+06	1.47393e+06	1.19607e+06	1.33662e+06	1.24232e+06	1.04913e+06	1.36124e+06	1.30073e+06	1.45039e+06	1.68856e+06	1.53916e+06	1.65074e+06	1.56519e+06	1.57639e+06	1.57863e+06	1.45616e+06	1.31987e+06	1.33861e+06	1.61735e+06	1.50882e+06	1.43882e+06	1.59382e+06	1.40058e+06	1.48227e+06	1.7025e+06	1.60301e+06	1.40086e+06	1.56821e+06	1.69509e+06	1.51407e+06	1.70818e+06	1.64363e+06	1.74237e+06
A1L0T0		ILVBL		8	8	461672	417190	436476	419040	337188	407578	449831	389559	484744	497102	539073	436919	470708	496518	387992	411172	390057	433387	440803	446942	447032	382280	443190	418679	496298	423597	591291	360980	402030	474686	457030	451735	446058	492161	476215	416525	474535	459243	514529	416904	518312	352971	463198	452590	524963	480566	481392	446526
A2RU67		FAM234B		1	1	7025.32	3614.93	6795.09	6502.87	7628.02	8800.46			8846.97	10394.4		4087.01	12932		8152.53	6487.22		11626.1	4131.68	3010.5	13011.9		5067.31	4471.73	10862.7	5894.96	10958.9			10986.6	14931.4			16919	10112.4	8914.65			12529.2	6213.08		17438.5			8533.59			6640.65
A3KMH1		VWA8		2	2	119859	148238	95469.6	103513	46154	100021	81246.3	93001.4	103838	68763.1	58533.9	62711	203251	92473.4	109688	90895.2	128040	230202	125396	82966.3	86290	183568	93867.6	103004	241752	259191	42474.6	79254.5	102359	159406	84918	119643	91918.3	81423.7	67970.2	64437.3	70341.5	94935	98031.6	64822.1	93713.9	115217	121557	110166	129898	75208.6	120417	62157.5
