Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57365.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	518395
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	4.68096e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	533647
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	2	2	65222.9
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	114335
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	12185
A0A2T4VDP8	PROT_VITXG	DAT35_31120	Probable protease Ga0334635_1659	2	2	3.79464e+06
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	7	7	464335
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	7	7	1.72501e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	27	27	5.59907e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	18	18	3.07522e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	18	18	1.30382e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	748433
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2	2	5703.29
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	2	2	23086.3
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	6	0	6.05855e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	3	3	111517
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10	10	676428
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	2	2	77407.9
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	6	5	4.03635e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	11	11	283883
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	3	3	56120.3
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	23	23	1.18875e+07
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	9	7	210033
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	631662
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1	1	69905
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	16	2	1.23567e+08
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	64678.8
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	3	3	4.79232e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	40	40	1.41265e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	109659
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	2.89369e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9	9	1.68296e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	4	4	425631
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	174990
A6NER3	GG12J_HUMAN	GAGE12J	G antigen 12J	1	1	472952
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	2	2	151005
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	3.17725e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	35	35	1.62226e+06
