Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57392.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	394267
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7	0	1.47067e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	188970
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	18745.9
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	25579.7
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	33288
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	6	6	474970
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	275823
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	22	22	4.15618e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	14	14	1.5969e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	2	2	6480.78
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	15	15	1.43498e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	727964
A1A780;A7ZHC0;A7ZVX9;B1IRE5;B1LFW1;B1XBF6;B2U250;B5YYC3;B6HYX9;B7L4F3;B7M0C7;B7MAF2;B7MNN7;B7N7Q5;B7NHD5;B7UI76;C4ZPV7;P04036;P58209;Q0TLW0;Q1RGH0;Q326J2;Q3Z5X9;Q83SQ9;Q8FLB4	DAPB_ECO24;DAPB_ECO27;DAPB_ECO45;DAPB_ECO55;DAPB_ECO57;DAPB_ECO5E;DAPB_ECO7I;DAPB_ECO81;DAPB_ECO8A;DAPB_ECOBW;DAPB_ECODH;DAPB_ECOHS;DAPB_ECOK1;DAPB_ECOL5;DAPB_ECOL6;DAPB_ECOLC;DAPB_ECOLI;DAPB_ECOLU;DAPB_ECOSE;DAPB_ECOSM;DAPB_ECOUT;DAPB_SHIB3;DAPB_SHIBS;DAPB_SHIFL;DAPB_SHISS	dapB	4-hydroxy-tetrahydrodipicolinate reductase	3	3	136919
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	5	0	4.65789e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	4	4	1.15559e+06
A1KM94;A5U6A6;C1AFL5;P63946;P9WP25	DAPA_MYCBO;DAPA_MYCBP;DAPA_MYCBT;DAPA_MYCTA;DAPA_MYCTU	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	14627.6
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	8	8	617517
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	2651.15
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	3	3	4799.77
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	2	2	2.1353e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	4	4	236279
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	2	2	94028
A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	1	1	10894.9
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	19	19	8.28286e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	5	3	318985
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	3	3	1.18387e+06
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	2	2	47756.2
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	11	1	1.38784e+08
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	75847.6
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	33	33	6.01607e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	26187.2
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	907028
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8	8	1.42056e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	3	3	157287
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	5130.45
A6NEF3;A6NEM1;A6NI86;H0YKK7	GG6L4_HUMAN;GG6L9_HUMAN;GG6LA_HUMAN;GG6LS_HUMAN	GOLGA6L10;GOLGA6L19;GOLGA6L4;GOLGA6L9	Golgin subfamily A member 6-like protein 4	1	0	382367
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.56862e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	24	24	2.69417e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	3	2	1.62003e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	13873.5
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	3	3	1.42465e+06
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	574690
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	11	1	1.18235e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	8621.77
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	4.70554e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	2	2	320148
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1	1	5423.6
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	25	23	4.26977e+06
B4DU55;O94892;Q3MJ62;Q52M93;Q6P3V2;Q8N184;Q8N883;Q8N8J6;Q9GZX5	Z585A_HUMAN;Z585B_HUMAN;ZN350_HUMAN;ZN432_HUMAN;ZN567_HUMAN;ZN614_HUMAN;ZN615_HUMAN;ZN879_HUMAN;ZSC23_HUMAN	ZNF350;ZNF432;ZNF567;ZNF585A;ZNF585B;ZNF614;ZNF615;ZNF879;ZSCAN23	Zinc finger protein 879	1	0	5187.59
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3	0	489244
B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	975243
E0SDG8	CDIA_DICD3	cdiA	Deoxyribonuclease CdiA	2	2	1.54904e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	1.37748e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	5.52906e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	7	0	4.94789e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	1.26511e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	175458
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.3971e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	11	11	860269
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	11	11	1.86237e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	1	1	7327.76
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	13	5	1.91746e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	9	9	4.57034e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	10	10	2.67093e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	22	22	2.75259e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	5	5	5.20363e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	6	6	705617
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	2.06639e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9	9	1.64856e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	15	15	4.88909e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	2	2	9262.5
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	775737
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	3	3	3.48081e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	15	13	1.6644e+06
O00212	RHOD_HUMAN	RHOD	Rho-related GTP-binding protein RhoD	1	1	2.98788e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	1.27624e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	19	18	2.0342e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	11	11	4.45688e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8	8	5.72478e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	5.27585e+06
