Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57363.raw
A0A023PZB8	YE079_YEAST	YER079C-A	Putative uncharacterized membrane protein YER079C-A	1	1	136869
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9	0	4.41899e+06
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	288337
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	1	1	12011
A0A0K0K1G8	TVBJ2_HUMAN	TRBV10-2	T cell receptor beta variable 10-2	1	1	14569.6
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	2	2	99201.4
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	8624.57
A0A4P7TS68;P0AA16;P0AA20;P0AA21	OMPR_ECOLI;OMPR_SALTI;OMPR_SHIFL;OMPR_SHIFM	ompR	DNA-binding dual transcriptional regulator OmpR	8	8	824172
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	6	6	561615
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	25	25	830880
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	18	18	2.09308e+06
A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	2	2	305637
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	18	18	3.47647e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2	2	400235
A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	1	1	53084.8
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	7	0	5.92533e+06
A1ADR4;A7ZPJ8;A8A2P2;B1IX74;P0A6V8;P0A6V9;Q0TF72;Q1R8X8;Q8FFD4	GLK_ECO24;GLK_ECO57;GLK_ECOHS;GLK_ECOK1;GLK_ECOL5;GLK_ECOL6;GLK_ECOLC;GLK_ECOLI;GLK_ECOUT	glk	Glucokinase	4	4	446109
A1BE04	DAPA_CHLPD	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	446877
A1KZ92	PXDNL_HUMAN	PXDNL	Peroxidasin-like protein	1	1	12250.7
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	10	10	694170
A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1	1	433133
A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	2	2	5110.59
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	5	4	3.06125e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	13	13	519600
A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B	1	1	163681
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	19	19	1.15277e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	7	6	144362
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	6	6	642328
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	1	1	4282.43
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	17	2	1.24366e+08
A5FQT5;Q3Z7V3;Q3ZXV3	DAPA_DEHM1;DAPA_DEHMB;DAPA_DEHMC	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	5322.16
A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	1	1	4544.87
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	42	42	3.72081e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	122372
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	2.38929e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	9	9	1.48882e+06
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	5	5	179938
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	1	1	4888.75
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	2	2	62690.1
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	3.69909e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	32	32	6.00896e+06
A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	1	1	8617.03
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	5.89078e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	11366.2
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2	2	737985
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	6	6	513408
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	637269
A8ALS4	DAPB_CITK8	dapB	4-hydroxy-tetrahydrodipicolinate reductase	2	2	74973.9
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	11	1	1.60531e+06
