													0.806591931	1.747260787	0.184406952	-0.310089138	0.805094953	-2.439043559							
Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57388.raw	Protein.Names		100	25			HUMAN	YEAST	ECOLI	HUMAN	YEAST	ECOLI	Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57391.raw
P02769	ALBU_BOVIN	ALB	Albumin	40	38	6.15E+07	BOVIN	52566300	25.87496953	25.64763486	-0.227334677	0.854211558							A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	8	0	969333
Q89AS3	GYRA_BUCBP	gyrA	DNA gyrase subunit A	1	1	15588.6	BUCBP		13.92820375										A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	321454
Q9XXK1	ATPA_CAEEL	atp-1	"ATP synthase subunit alpha, mitochondrial"	6	2	5.14E+07	CAEEL	39932900	25.61539413	25.25107451	-0.36431962	0.776835147							A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	21811.1
Q9PV90	RLA0_DANRE	rplp0	Large ribosomal subunit protein uL10	5	0	2.46E+07	DANRE		24.55375513										A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	4779.34
A0A0H2VDI7;P0AAE0	CYCA_ECOL6;CYCA_ECOLI	cycA	D-serine/D-alanine/glycine transporter	2	2	56386.5	ECOLI		15.78306217										A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	4	4	80971.4
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	5	0	4.20E+06	ECOLI	69961.8	22.0006692	16.09427979	-5.906389414	0.016672458			0.016672458			-5.906389414	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	19	19	4.93E+06
P00350	6PGD_ECOLI	gnd	"6-phosphogluconate dehydrogenase, decarboxylating"	16	16	2.92E+07	ECOLI	4070830	24.79880777	21.95689154	-2.841916221	0.139475515			0.139475515			-2.841916221	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	12	12	1.52E+06
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	3	3	232519	ECOLI		17.82698908										A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	12	12	3.84E+06
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	5	5	23731.6	ECOLI		14.53452175										A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	425917
